import_time,store_id,store_name,product_id,product_name,spec,realtimeprice,category,tags,icon,分割线,store_id,store_name,product_id,product_name,spec,category,tags,realtimeprice,icon,相似度分数
2018/3/1,47090,沃尔玛-宝山万达店,2011758166,佳沛 大金果 ,8个装 约500g,92,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005554899,佳沛绿果,100g/个,新鲜水果,,5.9,,0.55
2018/3/1,47090,沃尔玛-宝山万达店,2011758166,佳沛 大金果 ,8个装 约500g,92,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2008553180,佳沛绿奇异果（bravo) ,6粒/份,新鲜水果,,29.9,,0.45
2018/3/1,47090,沃尔玛-宝山万达店,2011758166,佳沛 大金果 ,8个装 约500g,92,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005554228,金果源苹果醋 ,330ml,酒水饮料,,4.6,,0.38
2018/3/1,47090,沃尔玛-宝山万达店,2003138071,佳沛 绿奇异果(个),90g,4.98,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2008553180,佳沛绿奇异果（bravo) ,6粒/份,新鲜水果,,29.9,,0.82
2018/3/1,47090,沃尔玛-宝山万达店,2003138071,佳沛 绿奇异果(个),90g,4.98,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005554899,佳沛绿果,100g/个,新鲜水果,,5.9,,0.49
2018/3/1,47090,沃尔玛-宝山万达店,2003138071,佳沛 绿奇异果(个),90g,4.98,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005555406,新西兰金奇异果120±,10g/1个,新鲜水果,,9.9,,0.47
2018/3/1,47090,沃尔玛-宝山万达店,2007285052,佳沛 金果,6个装 约500g,29.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005554899,佳沛绿果,100g/个,新鲜水果,,5.9,,0.55
2018/3/1,47090,沃尔玛-宝山万达店,2007285052,佳沛 金果,6个装 约500g,29.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2008553180,佳沛绿奇异果（bravo) ,6粒/份,新鲜水果,,29.9,,0.45
2018/3/1,47090,沃尔玛-宝山万达店,2007285052,佳沛 金果,6个装 约500g,29.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005554228,金果源苹果醋 ,330ml,酒水饮料,,4.6,,0.38
2018/3/1,47090,沃尔玛-宝山万达店,2004749574,冬瓜,1kg,6.3,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005555460,冬瓜450±,50g/份,时令蔬菜,,1.9,,0.63
2018/3/1,47090,沃尔玛-宝山万达店,2004749574,冬瓜,1kg,6.3,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005554416,健达奇趣蛋女孩版,3只装 60g,休闲零食,,25.4,,0
2018/3/1,47090,沃尔玛-宝山万达店,2004749574,冬瓜,1kg,6.3,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2007694922,田趣原味海苔 ,1.5g*18,休闲零食,,24.9,,0
2018/3/1,47090,沃尔玛-宝山万达店,2005557476,冰糖心富士苹果,1kg,20.8,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005555194,冰糖,800g/份,蛋品杂粮,,8.69,,0.6
2018/3/1,47090,沃尔玛-宝山万达店,2005557476,冰糖心富士苹果,1kg,20.8,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2006493849,阿克苏冰糖心苹果 1±,0.1kg/份,新鲜水果,,16.9,,0.6
2018/3/1,47090,沃尔玛-宝山万达店,2005557476,冰糖心富士苹果,1kg,20.8,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2011681653,袋装冰糖橙 1±,0.1kg,新鲜水果,活动期间(02.07-02.13)每人限购10件,11.99,,0.39
2018/3/1,47090,沃尔玛-宝山万达店,2003137969,包装上海青,300g,5.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005553135,肉皮（包装） ,100g,蛋品杂粮,,9.9,,0.47
2018/3/1,47090,沃尔玛-宝山万达店,2003137969,包装上海青,300g,5.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2007613122,康师傅包装饮用水 ,1.5L,酒水饮料,,1.7,,0.4
2018/3/1,47090,沃尔玛-宝山万达店,2003137969,包装上海青,300g,5.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005553294,康师傅包装饮用水 ,550ML*12,酒水饮料,,8,,0.4
2018/3/1,47090,沃尔玛-宝山万达店,2003137959,包装四季豆,300g,9.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005553135,肉皮（包装） ,100g,蛋品杂粮,,9.9,,0.3
2018/3/1,47090,沃尔玛-宝山万达店,2003137959,包装四季豆,300g,9.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2007613122,康师傅包装饮用水 ,1.5L,酒水饮料,,1.7,,0.25
2018/3/1,47090,沃尔玛-宝山万达店,2003137959,包装四季豆,300g,9.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005553294,康师傅包装饮用水 ,550ML*12,酒水饮料,,8,,0.25
2018/3/1,47090,沃尔玛-宝山万达店,2003137954,包装土豆,650g,5.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2006817058,土豆(bravo）,400g/份,时令蔬菜,,3.5,,0.45
2018/3/1,47090,沃尔玛-宝山万达店,2003137954,包装土豆,650g,5.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005553135,肉皮（包装） ,100g,蛋品杂粮,,9.9,,0.36
